ArtistID;Artist;
1;Above & Beyond;
2;Adventure Club;
3;AFROJACK;
4;Alan Walker;
5;Alesso;
6;Alison Wonderland;
7;Aphex Twin;
8;Armin van Buuren;
9;Audien;
10;Avicii;
11;Axwell;
12;Axwell /\ Ingrosso;
13;Bassnectar;
14;Benny Benassi;
15;Blasterjaxx;
16;Bob Sinclar;
17;Breathe Carolina;
18;Calvin Harris;
19;Carl Cox;
20;Clean Bandit;
21;Daft Punk;
22;Darude;
23;David Guetta;
24;deadmau5;
25;Deorro;
26;Dillon Francis;
27;Dimitri Vegas & Like Mike;
28;Diplo;
29;Disclosure;
30;DJ Snake;
31;Don Diablo;
32;Duke Dumont;
33;DVBBS;
34;Eric Prydz;
35;Fatboy Slim;
36;Flume;
37;Flux Pavilion;
38;Galantis;
39;Gorgon City;
40;GRiZ;
41;Gryffin;
42;Hardwell;
43;Headhunterz;
44;ILLENIUM;
45;Infected Mushroom;
46;Jack Ü;
47;Jauz;
48;Justice;
49;Kaskade;
50;Knife Party;
51;Krewella;
52;KSHMR;
53;Kygo;
54;Lost Frequencies;
55;Louis The Child;
56;Madeon;
57;Major Lazer;
58;Marshmello;
59;Martin Garrix;
60;Martin Solveig;
61;Mushroom Cloud;
62;NERO;
63;NGHTMRE;
64;Nicky Romero;
65;ODESZA;
66;Oliver Heldens;
67;Paul Oakenfold;
68;Pegboard Nerds;
69;Porter Robinson;
70;R3HAB;
71;RL Grime;
72;Said The Sky;
73;Sebastian Ingrosso;
74;Seven Lions;
75;Skrillex;
76;SLANDER;
77;Slushii;
78;Steve Angello;
79;Steve Aoki;
80;Swedish House Mafia;
81;Tchami;
82;The Chainsmokers;
83;The Chemical Brothers;
84;The Glitch Mob;
85;The Prodigy;
86;Tiësto;
87;Tritonal;
88;Vicetone;
89;Virtual Riot;
90;Wolfgang Gartner;
91;Yellow Claw;
92;Zedd;
93;Zeds Dead;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
